"Ozone","Solar.R","Wind","Temp","Month","Day"
41,190,7.4,67,"May",1
36,118,8,72,"May",2
12,149,12.6,74,"May",3
18,313,11.5,62,"May",4
NA,NA,14.3,56,"May",5
28,NA,14.9,66,"May",6
23,299,8.6,65,"May",7
19,99,13.8,59,"May",8
8,19,20.1,61,"May",9
NA,194,8.6,69,"May",10
7,NA,6.9,74,"May",11
16,256,9.7,69,"May",12
11,290,9.2,66,"May",13
14,274,10.9,68,"May",14
18,65,13.2,58,"May",15
14,334,11.5,64,"May",16
34,307,12,66,"May",17
6,78,18.4,57,"May",18
30,322,11.5,68,"May",19
11,44,9.7,62,"May",20
1,8,9.7,59,"May",21
11,320,16.6,73,"May",22
4,25,9.7,61,"May",23
32,92,12,61,"May",24
NA,66,16.6,57,"May",25
NA,266,14.9,58,"May",26
NA,NA,8,57,"May",27
23,13,12,67,"May",28
45,252,14.9,81,"May",29
115,223,5.7,79,"May",30
37,279,7.4,76,"May",31
NA,286,8.6,78,"Jun",1
NA,287,9.7,74,"Jun",2
NA,242,16.1,67,"Jun",3
NA,186,9.2,84,"Jun",4
NA,220,8.6,85,"Jun",5
NA,264,14.3,79,"Jun",6
29,127,9.7,82,"Jun",7
NA,273,6.9,87,"Jun",8
71,291,13.8,90,"Jun",9
39,323,11.5,87,"Jun",10
NA,259,10.9,93,"Jun",11
NA,250,9.2,92,"Jun",12
23,148,8,82,"Jun",13
NA,332,13.8,80,"Jun",14
NA,322,11.5,79,"Jun",15
21,191,14.9,77,"Jun",16
37,284,20.7,72,"Jun",17
20,37,9.2,65,"Jun",18
12,120,11.5,73,"Jun",19
13,137,10.3,76,"Jun",20
NA,150,6.3,77,"Jun",21
NA,59,1.7,76,"Jun",22
NA,91,4.6,76,"Jun",23
NA,250,6.3,76,"Jun",24
NA,135,8,75,"Jun",25
NA,127,8,78,"Jun",26
NA,47,10.3,73,"Jun",27
NA,98,11.5,80,"Jun",28
NA,31,14.9,77,"Jun",29
NA,138,8,83,"Jun",30
135,269,4.1,84,"Jul",1
49,248,9.2,85,"Jul",2
32,236,9.2,81,"Jul",3
NA,101,10.9,84,"Jul",4
64,175,4.6,83,"Jul",5
40,314,10.9,83,"Jul",6
77,276,5.1,88,"Jul",7
97,267,6.3,92,"Jul",8
97,272,5.7,92,"Jul",9
85,175,7.4,89,"Jul",10
NA,139,8.6,82,"Jul",11
10,264,14.3,73,"Jul",12
27,175,14.9,81,"Jul",13
NA,291,14.9,91,"Jul",14
7,48,14.3,80,"Jul",15
48,260,6.9,81,"Jul",16
35,274,10.3,82,"Jul",17
61,285,6.3,84,"Jul",18
79,187,5.1,87,"Jul",19
63,220,11.5,85,"Jul",20
16,7,6.9,74,"Jul",21
NA,258,9.7,81,"Jul",22
NA,295,11.5,82,"Jul",23
80,294,8.6,86,"Jul",24
108,223,8,85,"Jul",25
20,81,8.6,82,"Jul",26
52,82,12,86,"Jul",27
82,213,7.4,88,"Jul",28
50,275,7.4,86,"Jul",29
64,253,7.4,83,"Jul",30
59,254,9.2,81,"Jul",31
39,83,6.9,81,"Aug",1
9,24,13.8,81,"Aug",2
16,77,7.4,82,"Aug",3
78,NA,6.9,86,"Aug",4
35,NA,7.4,85,"Aug",5
66,NA,4.6,87,"Aug",6
122,255,4,89,"Aug",7
89,229,10.3,90,"Aug",8
110,207,8,90,"Aug",9
NA,222,8.6,92,"Aug",10
NA,137,11.5,86,"Aug",11
44,192,11.5,86,"Aug",12
28,273,11.5,82,"Aug",13
65,157,9.7,80,"Aug",14
NA,64,11.5,79,"Aug",15
22,71,10.3,77,"Aug",16
59,51,6.3,79,"Aug",17
23,115,7.4,76,"Aug",18
31,244,10.9,78,"Aug",19
44,190,10.3,78,"Aug",20
21,259,15.5,77,"Aug",21
9,36,14.3,72,"Aug",22
NA,255,12.6,75,"Aug",23
45,212,9.7,79,"Aug",24
168,238,3.4,81,"Aug",25
73,215,8,86,"Aug",26
NA,153,5.7,88,"Aug",27
76,203,9.7,97,"Aug",28
118,225,2.3,94,"Aug",29
84,237,6.3,96,"Aug",30
85,188,6.3,94,"Aug",31
96,167,6.9,91,"Sep",1
78,197,5.1,92,"Sep",2
73,183,2.8,93,"Sep",3
91,189,4.6,93,"Sep",4
47,95,7.4,87,"Sep",5
32,92,15.5,84,"Sep",6
20,252,10.9,80,"Sep",7
23,220,10.3,78,"Sep",8
21,230,10.9,75,"Sep",9
24,259,9.7,73,"Sep",10
44,236,14.9,81,"Sep",11
21,259,15.5,76,"Sep",12
28,238,6.3,77,"Sep",13
9,24,10.9,71,"Sep",14
13,112,11.5,71,"Sep",15
46,237,6.9,78,"Sep",16
18,224,13.8,67,"Sep",17
13,27,10.3,76,"Sep",18
24,238,10.3,68,"Sep",19
16,201,8,82,"Sep",20
13,238,12.6,64,"Sep",21
23,14,9.2,71,"Sep",22
36,139,10.3,81,"Sep",23
7,49,10.3,69,"Sep",24
14,20,16.6,63,"Sep",25
30,193,6.9,70,"Sep",26
NA,145,13.2,77,"Sep",27
14,191,14.3,75,"Sep",28
18,131,8,76,"Sep",29
20,223,11.5,68,"Sep",30
